No,Well_Job_ID,API Number,Operator,Contractor,DSRE,DSR,TMLDR,Discard Ratio,TLML,Down_Loss,Evap_Loss,Total_SCE,Total_Dil,ROP,Temp,Well_Name,Well_Coord_Lon,Well_Coord_Lat,flowline_Shakers,DOW,IntLength,AMW,Drilling_Hours,Haul_OFF,Base_Oil,Water,Weight_Material,Chemicals,Reserve_Adds,TD_Date,Hole_Size,Dilution_Ratio,Dil_Per_Hole_Vol_Ratio,Solids_Generated,Average_LGS%,IsReviewed,Basin,DI Basin,AAPG Geologic Province,MD Depth,County Code,State Code
1379,908,3.00E+13,XTO Energy,Precision 595,0.410840663,73.88989778,1.026765664,2.528173751,278,0,5,186.8065,278,26.00831601,123,Big Eddy Unit 29W Vader 105H,-103.77848,32.566198,Brandt King Cobra,3,1251,9.325,48.1,260.6963978,153,35,0,0,90,7/3/2020 0:00,8.75,1.006388964,1.924328883,97.69639778,0.068966667,1,,DELAWARE,PERMIAN BASIN,20623,25,30
1380,946,3.00E+13,XTO Energy,Precision 595,0.6573858,176.9129159,1.091906527,1.845080662,345,0,30,326.4186,345,67.37313433,106.5,Big Eddy Unit 29E Vader 106H,-103.7784403,32.56617925,Brandt King Cobra,3,2257,9.3,33.5,503.3315159,124,61,26,8,126,18-04-2020,8.5,0.67091765,1.316647653,166.3315159,0.054466667,1,,DELAWARE,PERMIAN BASIN,15350,25,30
1381,946,3.00E+13,XTO Energy,Precision 595,0.783777256,304.3153647,1.207875297,1.406900044,822,0,89,428.1413,822,41.14138817,105.5,Big Eddy Unit 29E Vader 106H,-103.7784403,32.56617925,Brandt King Cobra,6,4001,9.3,97.25,732.4566647,305,110,31,37,339,15-04-2020,8.75,1.128132231,1.545814363,312.4566647,0.0519,1,,DELAWARE,PERMIAN BASIN,15350,25,30
1382,884,3.00E+13,XTO Energy,Akita 90,0.866248766,741.2559934,1,1.623954492,1754.1,0,0,1203.766,1754.1,67.22435897,125.5714286,BEU 29W Vader 103H,-103.778286,32.566819,Derrick Dual Pool,7,10487,9.75,156,1945.021993,950.2,363.7,2.1,140.1,298,19-02-2020,8.5,1.209620474,1.883889982,772.9219934,0.055142857,1,,DELAWARE,PERMIAN BASIN,20460,25,30
1383,884,3.00E+13,XTO Energy,Akita 90,0.543678721,76.59638714,1,3.907011951,366.5,0,0,299.263,366.5,31.18181818,102.75,BEU 29W Vader 103H,-103.778286,32.566819,Derrick Dual Pool,4,1029,9.75,33,375.8593871,253.3,58,8.4,46.8,0,11/2/2020 0:00,8.75,1.224675286,4.560761512,80.35938714,0.0535,1,,DELAWARE,PERMIAN BASIN,20460,25,30
1384,1265,3.00E+13,Matador Resources,Patterson 256,0.634091035,398.7276069,1,1.850787323,1295.4,0,0,737.96,1295.4,57.88086452,102.3636364,Rodney Robinson Federal Com #133H,-103.608523,32.313033,Brandt King Cobra,13,10980,10.3,189.7,1136.687607,721.5,150,106.8,61.1,256,23-11-2020,6.75,1.408477424,2.036890542,510.2876069,0.101846154,1,,DELAWARE,PERMIAN BASIN,15320,25,30
1385,1267,3.00E+13,Matador Resources,Patterson 256,0.684103301,426.6215842,1,2.929059491,1783.7,0,0,1249.6,1783.7,36.8045745,104.6315789,Rodney Robinson Fed #203H,-103.608445,32.313083,Brandt King Cobra,21,10942,12,297.3,1676.221584,920.3,344.7,254.3,73.4,191,6/11/2020 0:00,6.75,1.274567862,3.132020448,508.5215842,0.094333333,1,,DELAWARE,PERMIAN BASIN,17023,25,30
1386,1266,3.00E+13,Matador Resources,Patterson 256,0.750922961,496.8426818,1,1.431207555,1263.1,0,0,711.085,1263.1,63.17599068,99.66666667,Rodney Robinson Federal Com 134H,-103.603523,32.313509,Brandt King Cobra,10,10841,10.5,171.6,1207.927682,602.4,143.2,55.9,47.6,414,15-01-2021,6.75,1.194090721,1.685298428,503.8276818,0.1042,1,,DELAWARE,PERMIAN BASIN,16809,25,30
1387,2523,3.00E+13,Oxy,Patterson 882,0.846093329,489.0548878,1,1.680044062,1197.57,0,0,821.63376,1197.57,63.62241888,115,DR PI FED UNIT 18-7 IPP 24H,-103.708968,32.384772,Derrick Hyperpool,9,10784,9.4,169.5,1310.688648,594.76,70,70.73,89.06,373.02,12/2/2024 0:00,6.75,1.003549319,1.645221726,501.1786478,0.063444444,1,,DELAWARE,PERMIAN BASIN,20872,25,30
1388,2520,3.00E+13,Oxy,Patterson 882,0.845656734,449.434961,1,1.482269978,1057.49,0,0,666.18395,1057.49,54.99228792,103.2222222,DR PI FED UNIT 18-7 IPP 25H,-103.708855,32.384773,Derrick Hyperpool,10,10696,9.35,194.5,1115.618911,588.38,256.23,41.77,88.1,83.01,31-01-2024,6.75,1.462779162,1.960373644,497.088911,0.0442,1,,DELAWARE,PERMIAN BASIN,20695,25,30
